Horizon,Stock,Accuracy,Precision,Recall,F1-Score
1D,AAPL,0.45768566493955093,0.6875,0.034375,0.06547619047619048
1D,AMZN,0.5198618307426598,0.5925925925925926,0.21476510067114093,0.31527093596059114
1D,HDFCBANK.NS,0.4903339191564148,0.4148936170212766,0.14233576642335766,0.21195652173913043
1D,INFY.NS,0.5114235500878734,0.4930875576036866,0.3890909090909091,0.4349593495934959
1D,MSFT,0.48877374784110533,0.5205479452054794,0.3737704918032787,0.4351145038167939
1D,NVDA,0.531951640759931,0.539568345323741,0.7401315789473685,0.624133148404993
1D,RELIANCE.NS,0.5606326889279437,0.5720720720720721,0.450354609929078,0.503968253968254
1D,TCS.NS,0.48857644991212656,0.4395973154362416,0.5137254901960784,0.47377938517179025
20D,AAPL,0.4131944444444444,0.7543859649122807,0.11716621253405994,0.2028301886792453
20D,AMZN,0.5486111111111112,0.5706214689265536,0.9044776119402985,0.6997690531177829
20D,HDFCBANK.NS,0.479646017699115,0.6,0.040268456375838924,0.07547169811320754
20D,INFY.NS,0.5716814159292035,0.5981735159817352,0.45964912280701753,0.5198412698412699
20D,MSFT,0.5659722222222222,0.6190476190476191,0.3192982456140351,0.4212962962962963
20D,NVDA,0.3958333333333333,0.6,0.008595988538681949,0.01694915254237288
20D,RELIANCE.NS,0.5238938053097345,0.48148148148148145,0.6070038910505836,0.5370051635111877
20D,TCS.NS,0.4831858407079646,0.40672782874617736,0.5757575757575758,0.4767025089605735
5D,AAPL,0.44905008635578586,0.9,0.027522935779816515,0.05341246290801187
5D,AMZN,0.5008635578583766,0.7297297297297297,0.08823529411764706,0.15743440233236153
5D,HDFCBANK.NS,0.4841549295774648,0.4594594594594595,0.11846689895470383,0.1883656509695291
5D,INFY.NS,0.5140845070422535,0.5422885572139303,0.3720136518771331,0.44129554655870445
5D,MSFT,0.5077720207253886,0.6030534351145038,0.2532051282051282,0.35665914221218964
5D,NVDA,0.531951640759931,0.5606060606060606,0.7920489296636085,0.6565272496831432
5D,RELIANCE.NS,0.4859154929577465,0.49096385542168675,0.5699300699300699,0.5275080906148867
5D,TCS.NS,0.45598591549295775,0.39766081871345027,0.5690376569037657,0.46815834767641995
