Horizon,Stock,Logistic Test Accuracy,Logistic Test Precision,Logistic Test Recall,Logistic Test F1,Default RF Test Accuracy,Default RF Test Precision,Default RF Test Recall,Default RF Test F1,Tuned RF Test Accuracy,Tuned RF Test Precision,Tuned RF Test Recall,Tuned RF Test F1,Logistic CV,Default RF CV,Tuned RF CV,Best Model,Best CV Accuracy
1D,AAPL,0.4870466321243523,0.5403508771929825,0.48125,0.509090909090909,0.4576856649395509,0.6875,0.034375,0.0654761904761904,0.4525043177892919,1.0,0.009375,0.0185758513931888,0.4870466321243524,0.4735751295336787,0.5037420840529648,Tuned Random Forest,0.5037420840529648
1D,AMZN,0.5094991364421416,0.5411764705882353,0.3087248322147651,0.3931623931623931,0.5198618307426598,0.5925925925925926,0.2147651006711409,0.3152709359605911,0.4853195164075993,0.5,0.023489932885906,0.0448717948717948,0.5207253886010362,0.483419689119171,0.4916522740356937,Logistic Regression,0.5207253886010362
1D,HDFCBANK.NS,0.4674868189806678,0.4698544698544699,0.8248175182481752,0.5986754966887418,0.4903339191564148,0.4148936170212766,0.1423357664233576,0.2119565217391304,0.5026362038664324,0.4526315789473684,0.156934306569343,0.2330623306233062,0.4994708994708995,0.5042328042328043,0.5123239436619719,Tuned Random Forest,0.5123239436619719
1D,INFY.NS,0.5202108963093146,0.503448275862069,0.5309090909090909,0.5168141592920354,0.5114235500878734,0.4930875576036866,0.3890909090909091,0.4349593495934959,0.4833040421792619,0.4644194756554307,0.4509090909090909,0.4575645756457565,0.501058201058201,0.4830687830687831,0.4841549295774648,Logistic Regression,0.501058201058201
1D,MSFT,0.4870466321243523,0.51,0.6688524590163935,0.5787234042553191,0.4887737478411053,0.5205479452054794,0.3737704918032787,0.4351145038167939,0.4680483592400691,0.4937238493723849,0.3868852459016393,0.4338235294117647,0.516580310880829,0.4891191709844559,0.4922279792746113,Logistic Regression,0.516580310880829
1D,NVDA,0.5233160621761658,0.5257352941176471,0.9407894736842104,0.6745283018867925,0.531951640759931,0.539568345323741,0.7401315789473685,0.624133148404993,0.5302245250431779,0.5363636363636364,0.7763157894736842,0.6344086021505376,0.5020725388601036,0.482901554404145,0.4853195164075993,Logistic Regression,0.5020725388601036
1D,RELIANCE.NS,0.4762741652021089,0.4813953488372093,0.7340425531914894,0.5814606741573034,0.5606326889279437,0.5720720720720721,0.450354609929078,0.503968253968254,0.546572934973638,0.546875,0.4964539007092198,0.5204460966542751,0.4989417989417989,0.5126984126984128,0.5275821596244131,Tuned Random Forest,0.5275821596244131
1D,TCS.NS,0.4815465729349736,0.4386503067484663,0.5607843137254902,0.4922547332185886,0.4885764499121265,0.4395973154362416,0.5137254901960784,0.4737793851717902,0.4780316344463972,0.4363636363636363,0.5647058823529412,0.4923076923076923,0.5116402116402117,0.5100529100529101,0.5046948356807511,Logistic Regression,0.5116402116402117
20D,AAPL,0.5347222222222222,0.6655518394648829,0.5422343324250681,0.5975975975975976,0.4131944444444444,0.7543859649122807,0.1171662125340599,0.2028301886792453,0.3923611111111111,0.8148148148148148,0.0599455040871934,0.1116751269035533,0.5253263707571801,0.404177545691906,0.4185507246376811,Logistic Regression,0.5253263707571801
20D,AMZN,0.5329861111111112,0.671875,0.3850746268656716,0.4895635673624288,0.5486111111111112,0.5706214689265536,0.9044776119402984,0.6997690531177829,0.5503472222222222,0.5690909090909091,0.9343283582089552,0.7073446327683616,0.5394255874673629,0.5091383812010444,0.5188405797101449,Logistic Regression,0.5394255874673629
