Horizon,Stock,Accuracy,Precision,Recall,F1-Score
1D,AAPL,0.48704663212435234,0.5403508771929825,0.48125,0.509090909090909
1D,AMZN,0.5094991364421416,0.5411764705882353,0.3087248322147651,0.39316239316239315
1D,HDFCBANK.NS,0.46748681898066785,0.4698544698544699,0.8248175182481752,0.5986754966887418
1D,INFY.NS,0.5202108963093146,0.503448275862069,0.5309090909090909,0.5168141592920354
1D,MSFT,0.48704663212435234,0.51,0.6688524590163935,0.5787234042553191
1D,NVDA,0.5233160621761658,0.5257352941176471,0.9407894736842105,0.6745283018867925
1D,RELIANCE.NS,0.47627416520210897,0.4813953488372093,0.7340425531914894,0.5814606741573034
1D,TCS.NS,0.48154657293497366,0.4386503067484663,0.5607843137254902,0.49225473321858865
20D,AAPL,0.5347222222222222,0.6655518394648829,0.5422343324250681,0.5975975975975976
20D,AMZN,0.5329861111111112,0.671875,0.3850746268656716,0.48956356736242884
20D,HDFCBANK.NS,0.4761061946902655,0.509090909090909,0.18791946308724833,0.27450980392156865
20D,INFY.NS,0.49911504424778763,0.501779359430605,0.9894736842105263,0.6658795749704841
20D,MSFT,0.5347222222222222,0.5236768802228412,0.6596491228070176,0.5838509316770186
20D,NVDA,0.4878472222222222,0.6607142857142857,0.31805157593123207,0.42940038684719534
20D,RELIANCE.NS,0.47079646017699117,0.425531914893617,0.4669260700389105,0.4452690166975881
20D,TCS.NS,0.4300884955752212,0.410958904109589,0.9090909090909091,0.5660377358490566
5D,AAPL,0.542314335060449,0.5837837837837838,0.6605504587155964,0.6197991391678622
5D,AMZN,0.49568221070811747,0.5972222222222222,0.14052287581699346,0.2275132275132275
5D,HDFCBANK.NS,0.4647887323943662,0.48,0.710801393728223,0.5730337078651685
5D,INFY.NS,0.5123239436619719,0.5141843971631206,0.9897610921501706,0.676779463243874
5D,MSFT,0.5233160621761658,0.5357142857142857,0.8653846153846154,0.6617647058823529
5D,NVDA,0.45595854922279794,0.5171428571428571,0.5535168195718655,0.534711964549483
5D,RELIANCE.NS,0.4982394366197183,0.5011037527593819,0.7937062937062938,0.6143437077131259
5D,TCS.NS,0.44014084507042256,0.41821946169772256,0.8451882845188284,0.5595567867036011
