Horizon,Stock,Accuracy,Precision,Recall,F1_Score,Tuned_CV_Mean,Tuned_CV_Std
1D,AAPL,0.4525043177892919,1.0,0.009375,0.018575851393188854,0.5037420840529648,0.0
1D,AMZN,0.4853195164075993,0.5,0.02348993288590604,0.04487179487179487,0.4916522740356937,0.0
1D,HDFCBANK.NS,0.5026362038664324,0.45263157894736844,0.15693430656934307,0.23306233062330622,0.5123239436619719,0.0
1D,INFY.NS,0.4833040421792619,0.46441947565543074,0.4509090909090909,0.4575645756457565,0.4841549295774648,0.0
1D,MSFT,0.4680483592400691,0.49372384937238495,0.38688524590163936,0.4338235294117647,0.49222797927461137,0.0
1D,NVDA,0.5302245250431779,0.5363636363636364,0.7763157894736842,0.6344086021505376,0.48531951640759935,0.0
1D,RELIANCE.NS,0.546572934973638,0.546875,0.49645390070921985,0.5204460966542751,0.5275821596244131,0.0
1D,TCS.NS,0.4780316344463972,0.43636363636363634,0.5647058823529412,0.49230769230769234,0.5046948356807511,0.0
20D,AAPL,0.3923611111111111,0.8148148148148148,0.05994550408719346,0.1116751269035533,0.41855072463768117,0.0
20D,AMZN,0.5503472222222222,0.5690909090909091,0.9343283582089552,0.7073446327683616,0.5188405797101449,0.0
20D,HDFCBANK.NS,0.4778761061946903,0.5789473684210527,0.03691275167785235,0.0694006309148265,0.6270685579196218,0.0
20D,INFY.NS,0.5982300884955752,0.6178861788617886,0.5333333333333333,0.5725047080979284,0.47754137115839246,0.0
20D,MSFT,0.5694444444444444,0.6412213740458015,0.29473684210526313,0.40384615384615385,0.5460869565217391,0.0
20D,NVDA,0.3975694444444444,1.0,0.0057306590257879654,0.011396011396011397,0.4643478260869565,0.0
20D,RELIANCE.NS,0.5168141592920354,0.47333333333333333,0.5525291828793775,0.5098743267504489,0.5478723404255319,0.0
20D,TCS.NS,0.4814159292035398,0.4088235294117647,0.6017316017316018,0.4868651488616462,0.4875886524822695,0.0
5D,AAPL,0.4421416234887737,0.8333333333333334,0.01529051987767584,0.03003003003003003,0.43540945790080743,0.0
5D,AMZN,0.48013816925734026,0.8571428571428571,0.0196078431372549,0.038338658146964855,0.48846597462514413,0.0
5D,HDFCBANK.NS,0.4665492957746479,0.4230769230769231,0.15331010452961671,0.22506393861892582,0.5167548500881834,0.0
5D,INFY.NS,0.522887323943662,0.54296875,0.47440273037542663,0.5063752276867031,0.48971193415637854,0.0
5D,MSFT,0.5250431778929189,0.6275862068965518,0.2916666666666667,0.3982494529540481,0.43540945790080743,0.0
5D,NVDA,0.49568221070811747,0.5417661097852029,0.6941896024464832,0.6085790884718498,0.46482122260668973,0.0
5D,RELIANCE.NS,0.5,0.5030674846625767,0.5734265734265734,0.5359477124183006,0.527336860670194,0.0
5D,TCS.NS,0.4665492957746479,0.4116022099447514,0.6234309623430963,0.49584026622296173,0.5102880658436214,0.0
